price,model,exterior_color,interior_color,number_of_keys,year,miles,make,highway_mpg,city_mpg,car_type,number_of_doors,type_of_transmission,number_of_gears
18590,RAV4,Black,Black,1,2013,| 33245,TOYOTA,31,24,SUV,4,Auto,6
15990,PASSAT,White,Beige,1,2017,| 12621,VOLKSWAGEN,34,23,Sedan,4,Auto,6
19590,SANTA FE,Gray,Black/Black,1,2019,| 40100,HYUNDAI,29,22,SUV,4,Auto,8
13990,XC60,Red,Beige,1,2013,| 99000,VOLVO,25,19,SUV,4,Auto,6
33590,A8,White,Black,1,2015,| 46281,AUDI,30,18,Sedan,4,Auto,8
14590,1 SERIES,Brown,Gray,1,2012,| 72539,BMW,28,18,Coupe,2,Auto,6
32590,TACOMA DOUBLE CAB,Black,Black,1,2017,| 53063,TOYOTA,23,18,Truck,4,Auto,6
14990,ROGUE,Silver,Black,1,2015,| 66797,NISSAN,32,25,SUV,4,Auto,CVT
15990,ACADIA,Beige,Beige,1,2013,| 95320,GMC,24,17,SUV,4,Auto,6
14990,VELOSTER,Silver,Black,2,2016,| 31471,HYUNDAI,36,28,Coupe,3,Auto,6
12990,MALIBU,Black,Black,1,2013,| 73844,CHEVROLET,34,22,Sedan,4,Auto,6
16990,FR-S,Gray,Black,1,2013,| 68664,SCION,30,22,Coupe,2,Manual,6
15590,SANTA FE SPORT,Black,Beige,1,2016,| 67102,HYUNDAI,27,20,SUV,4,Auto,6
16990,ACCORD,Red,Black,1,2014,| 24091,HONDA,34,26,Coupe,2,Auto,CVT
10590,JETTA,White,Black,1,2012,| 75693,VOLKSWAGEN,29,23,Sedan,4,Auto,6
14990,PRIUS V,Gray,Black,1,2013,| 65469,TOYOTA,40,44,Wagon,4,Auto,CVT
13990,SONATA,Silver,Beige,1,2016,| 59991,HYUNDAI,38,25,Sedan,4,Auto,6
18990,XF,Silver,Black,1,2010,| 66308,JAGUAR,21,15,Sedan,4,Auto,6
15990,TOWN & COUNTRY,Blue,Black / Light Graystone Interior Colors,1,2013,| 62430,CHRYSLER,25,17,Minivan,4,Auto,6
19990,VENZA,Silver,Beige,1,2015,| 36070,TOYOTA,26,19,Wagon,4,Auto,6
11590,CRUZE LIMITED,Silver,Black,2,2016,| 74187,CHEVROLET,35,22,Sedan,4,Auto,6
12990,OPTIMA,White,Black,1,2015,| 80161,KIA,34,23,Sedan,4,Auto,6
12990,MUSTANG,Blue,Beige,1,2010,| 79504,FORD,24,16,Coupe,2,Auto,5
15590,TOWN & COUNTRY,Gray,Black,1,2015,| 70479,CHRYSLER,25,17,Minivan,4,Auto,6
18990,FOCUS ST,Yellow,Black,1,2013,| 47639,FORD,32,23,Hatchback,4,Manual,6
16990,ESCAPE,Gray,Charcoal Black Leather Seat,1,2014,| 52827,FORD,30,22,SUV,4,Auto,6
13990,EDGE,Gray,Beige,1,2012,| 84795,FORD,30,21,SUV,4,Auto,6
16990,AVALON,Black,Black,1,2013,| 93613,TOYOTA,39,40,Sedan,4,Auto,CVT
15990,PRIUS V,Red,Beige,1,2015,| 70828,TOYOTA,40,44,Wagon,4,Auto,CVT
12590,FIT,Gray,Gray,1,2013,| 34872,HONDA,35,28,Hatchback,4,Auto,5
11990,CIVIC,Gray,Beige,1,2012,| 88223,HONDA,39,28,Sedan,4,Auto,5
23990,GOLF GTI,Silver,Titan Black Leather,2,2017,| 20832,VOLKSWAGEN,34,24,Sedan,4,Manual,6
13990,TC,Blue,Black,1,2015,| 71816,SCION,31,23,Hatchback,2,Auto,6
28990,M-CLASS,Black,Black,1,2012,| 99763,MERCEDES-BENZ,18,14,SUV,4,Auto,7
15990,CAMRY,Blue,Gray,1,2015,| 40762,TOYOTA,35,25,Sedan,4,Auto,6
12990,TIGUAN,Silver,Beige,1,2012,| 50865,VOLKSWAGEN,27,22,SUV,4,Auto,6
19990,COUNTRYMAN,Gray,Black,2,2014,| 16519,MINI,31,25,Hatchback,4,Manual,6
13990,CIVIC,Black,Gray,1,2014,| 62040,HONDA,39,30,Sedan,4,Auto,CVT
23990,GS,Gray,Black,1,2014,| 64465,LEXUS,29,19,Sedan,4,Auto,8
15990,PATHFINDER,Blue,Beige,1,2013,| 99167,NISSAN,26,20,SUV,4,Auto,CVT
17590,TUCSON,Black,Beige,1,2015,| 32860,HYUNDAI,25,20,SUV,4,Auto,6
31590,PANAMERA,Brown,Beige,1,2012,| 69220,PORSCHE,27,18,Sedan,4,Auto,7
10590,CRUZE,White,Black,1,2011,| 65968,CHEVROLET,35,22,Sedan,4,Auto,6
10990,ROGUE,Silver,Black,2,2009,| 77921,NISSAN,27,22,SUV,4,Auto,CVT
13990,SONATA,White,Beige,1,2015,| 74483,HYUNDAI,35,24,Sedan,4,Auto,6
11990,ALTIMA,White,Beige,1,2016,| 89640,NISSAN,39,27,Sedan,4,Auto,CVT
13990,FORTWO CABRIO,White,Black,1,2017,| 28758,SMART,39,34,Convertible,2,Auto,6
15990,C-CLASS,Red,Black,1,2014,| 95006,MERCEDES-BENZ,27,20,Sedan,4,Auto,7
12590,JETTA,Silver,Black,1,2011,| 45511,VOLKSWAGEN,33,23,Wagon,4,Manual,5
13990,FUSION,Red,Black,1,2014,| 39061,FORD,34,22,Sedan,4,Auto,6
14990,FUSION,Gray,Charcoal Blk Cloth Seats,2,2016,| 45333,FORD,36,24,Sedan,4,Auto,6
13990,PASSAT,Red,Beige,2,2014,| 51083,VOLKSWAGEN,34,24,Sedan,4,Auto,6
10590,CRUZE,Black,Black,1,2012,| 82235,CHEVROLET,35,22,Sedan,4,Auto,6
13990,COROLLA,Blue,Beige,1,2014,| 56297,TOYOTA,38,29,Sedan,4,Auto,CVT
11590,CX-7,Burgundy,Sand,1,2011,| 62158,MAZDA,28,20,SUV,4,Auto,5
20990,SORENTO,Black,Black,1,2018,| 31256,KIA,25,21,SUV,4,Auto,6
14990,CR-V,Blue,Gray,1,2014,| 74662,HONDA,31,23,SUV,4,Auto,5
16990,SEDONA,Gray,Gray,1,2016,| 61581,KIA,24,18,Minivan,4,Auto,6
15990,FOCUS ST,Black,Charcoal Black Cloth Seats,1,2014,| 71710,FORD,32,23,Hatchback,4,Manual,6
14990,VELOSTER,Blue,Black,2,2017,| 38778,HYUNDAI,35,28,Coupe,3,Auto,6
16590,CAMRY,Beige,Black,2,2015,| 23296,TOYOTA,35,25,Sedan,4,Auto,6
21990,MX-5 MIATA,Black,Black,2,2016,| 28201,MAZDA,36,27,Convertible,2,Auto,6
10990,CR-Z,Red,Gray,1,2011,| 91816,HONDA,39,35,Coupe,2,Auto,CVT
13990,CHEROKEE,Blue,Black,1,2014,| 80165,JEEP,31,22,SUV,4,Auto,9
12990,MAZDA3,Silver,Black,1,2014,| 56895,MAZDA,41,30,Sedan,4,Auto,6
30990,SEQUOIA,Gray,Gray,1,2014,| 84084,TOYOTA,17,13,SUV,4,Auto,6
11990,SENTRA,Red,Black,1,2016,| 66367,NISSAN,38,29,Sedan,4,Auto,CVT
10590,ACCENT,Black,Beige,1,2014,| 75211,HYUNDAI,37,27,Sedan,4,Auto,6
21990,M-CLASS,Silver,Black,1,2013,| 54465,MERCEDES-BENZ,23,18,SUV,4,Auto,7
16990,MKZ,Gray,Charcoal Non-Perf Leather,1,2013,| 49829,LINCOLN,33,22,Sedan,4,Auto,6
25990,GRAND CHEROKEE,Black,Black,1,2016,| 38257,JEEP,25,18,SUV,4,Auto,8
11590,COROLLA,Red,Gray,1,2013,| 94373,TOYOTA,34,26,Sedan,4,Auto,4
17590,G,Gray,Black,1,2013,| 52530,INFINITI,26,19,Sedan,4,Auto,7
12990,COMPASS,Gray,Black,1,2014,| 75084,JEEP,28,21,SUV,4,Auto,6
18990,EQUINOX,Gray,Jet Black,1,2019,| 15111,CHEVROLET,32,26,SUV,4,Auto,6
11990,TIGUAN,Gray,Beige,1,2012,| 90069,VOLKSWAGEN,27,21,SUV,4,Auto,6
11590,CIVIC,White,Beige,1,2013,| 82427,HONDA,39,28,Sedan,4,Auto,5
18990,GRAND CARAVAN PASSENGER,Silver,Black Interior Color,1,2019,| 45421,DODGE,25,17,Minivan,4,Auto,6
13990,CR-V,Burgundy,Gray,1,2012,| 72445,HONDA,31,23,SUV,4,Auto,5
11590,CIVIC,Burgundy,Beige,2,2014,| 99470,HONDA,39,30,Sedan,4,Auto,CVT
14990,TIGUAN,White,Black,1,2016,| 80143,VOLKSWAGEN,26,20,SUV,4,Auto,6
20590,CR-V,Burgundy,Gray,1,2015,| 53744,HONDA,34,27,SUV,4,Auto,CVT
23590,PACIFICA,Burgundy,Other,1,2017,| 55304,CHRYSLER,28,18,Minivan,4,Auto,9
12590,MALIBU,Gray,Black,1,2014,| 82705,CHEVROLET,36,25,Sedan,4,Auto,6
12990,CAPTIVA SPORT,Black,Black,1,2015,| 83388,CHEVROLET,28,20,SUV,4,Auto,6
25990,SIENNA,Silver,Black,1,2015,23855,TOYOTA,25,18,Minivan,4,Auto,6
20990,DURANGO,Blue,Black,1,2016,| 39550,DODGE,27,19,SUV,4,Auto,8
16990,CIVIC,Black,Black,1,2013,| 44408,HONDA,31,22,Coupe,2,Manual,6
